Pozo,Profundidad,Porosidad,Permeabilidad,Saturacion_agua,Volumen_arcilla
P1,1152.8,0.0005,,1.0,0.8437
P1,1153.7,0.0003,,1.0,0.8655
P1,1153.8,0.0001,,1.0,0.8959
P1,1153.9,0.0018,,1.0,0.7887
P1,1154.7,0.006999999999999999,,1.0,0.7219
P1,1154.8,0.0068,,1.0,0.7235
P1,1156.3,0.0001,,1.0,0.9257
P1,1156.4,0.0001,,1.0,0.9959
P1,1158.1,0.006999999999999999,,1.0,0.7221
P1,1158.2,0.0008,,1.0,0.8243
P1,1158.3,0.0001,,1.0,0.8914
P1,1158.4,0.0011,,1.0,0.8091
P1,1158.7,0.0064,,1.0,0.7267
P1,1158.8,0.0016,,1.0,0.7928
P1,1158.9,0.0017,,1.0,0.7926
P1,1160.4,0.0015,,1.0,0.7973
P1,1160.5,0.0001,,1.0,1.0
P1,1160.6,0.0001,,1.0,1.0
P1,1160.7,0.0001,,1.0,0.9139
P1,1160.8,0.003,,1.0,0.7654
P1,1160.9,0.0025,,1.0,0.7736
P1,1161.3,0.0002,,1.0,0.8742
P1,1161.4,0.0007,,1.0,0.8313
P1,1161.5,0.0001,,1.0,0.9596
P1,1161.6,0.0001,,1.0,1.0
P1,1161.7,0.0001,,1.0,1.0
P1,1161.8,0.0001,,1.0,1.0
P1,1161.9,0.0066,,1.0,0.7248
P1,1163.9,0.0004,,1.0,0.8548
P1,1164.0,0.001,,1.0,0.8124
P1,1164.6,0.0064,,1.0,0.7266
P1,1164.7,0.0008,,1.0,0.8241
P1,1164.8,0.0001,,1.0,1.0
P1,1164.9,0.0001,,1.0,1.0
P1,1165.0,0.0001,,1.0,1.0
P1,1165.1,0.0007,,1.0,0.8270000000000001
P1,1165.2,0.0002,,1.0,0.8797
P1,1165.3,0.0001,,1.0,0.9431
P1,1165.4,0.0002,,1.0,0.8823
P1,1165.5,0.0019,,1.0,0.7872
P1,1167.5,0.0099,,1.0,0.703
P1,1167.6,0.0074,,1.0,0.7190000000000001
P1,1167.7,0.0024,,1.0,0.7757
P1,1167.8,0.0003,,1.0,0.8605
P1,1167.9,0.0004,,1.0,0.8513
P1,1168.1,0.0069,,1.0,0.7229
P1,1168.2,0.0001,,1.0,0.9323
P1,1168.3,0.0001,,1.0,0.9717
P1,1168.4,0.0003,,1.0,0.8628
P1,1170.5,0.0001,,1.0,1.0
P1,1170.6,0.0001,,1.0,1.0
P1,1170.7,0.0001,,1.0,1.0
P1,1170.8,0.0001,,1.0,1.0
P1,1170.9,0.0001,,1.0,1.0
P1,1171.0,0.0001,,1.0,1.0
P1,1171.1,0.0001,,1.0,1.0
P1,1171.2,0.0023,,1.0,0.7768
P1,1172.6,0.0003,,1.0,0.8573
P1,1172.7,0.0001,,1.0,1.0
P1,1172.8,0.0001,,1.0,1.0
P1,1172.9,0.0001,,1.0,1.0
P1,1173.0,0.0001,,1.0,1.0
P1,1173.1,0.0001,,1.0,1.0
P1,1173.2,0.0001,,1.0,1.0
P1,1173.3,0.0001,,1.0,0.9916
P1,1173.4,0.0004,,1.0,0.8548
P1,1173.5,0.0044,,1.0,0.7458
P1,1173.8,0.0027,,1.0,0.7705
P1,1173.9,0.0001,,1.0,0.893
P1,1174.0,0.0001,,1.0,1.0
P1,1174.1,0.0001,,1.0,1.0
P1,1174.2,0.0001,,1.0,1.0
P1,1174.3,0.0001,,1.0,1.0
P1,1174.4,0.0001,,1.0,1.0
P1,1174.5,0.0001,,1.0,1.0
P1,1174.6,0.0001,,1.0,1.0
P1,1174.7,0.0001,,1.0,1.0
P1,1174.8,0.0001,,1.0,1.0
P1,1174.9,0.0001,,1.0,1.0
P1,1175.0,0.0001,,1.0,0.8864
