DEPTH,Shale,Dolomite,Limestone,Primary Porosity,Secondary Porosity,Facie C
4257.6828,0.003515,0.220111,0.744139,0.008788,0.023448,8
4257.8352,0.000834,0.229023,0.742652,0.012591,0.014899,8
4257.9876,0.000834,0.35356,0.605045,0.015721,0.02484,8
4258.14,0.000834,0.328147,0.628179,0.018,0.02484,8
4258.2924,0.000834,0.276643,0.674335,0.017899,0.030289,8
4258.4448,0.000834,0.214179,0.731182,0.017793,0.036012,8
4258.5972,0.000834,0.16981,0.774304,0.01777,0.037281,8
4258.7496,0.000834,0.1521,0.791719,0.017764,0.037583,8
4258.902,0.000834,0.168145,0.775257,0.017756,0.038008,8
4259.0544,0.000834,0.22316,0.71894,0.017732,0.039334,8
4259.2068,0.000834,0.231854,0.710246,0.017732,0.039334,8
4259.3592,0,0.275263,0.663372,0.021573,0.039792,8
4259.5116,0.000038,0.299565,0.638674,0.020382,0.041342,8
4259.664,0.000038,0.371661,0.566578,0.020382,0.041342,8
4259.8164,0,0.409046,0.537372,0.014932,0.038649,8
4259.9688,0,0.341158,0.624914,0.016245,0.017682,8
4260.1212,0,0.358122,0.606262,0.01792,0.017697,8
4260.2736,0,0.346968,0.626745,0.019861,0.006426,8
4260.426,0,0.278273,0.697135,0.016983,0.007609,8
4260.5784,0,0.278295,0.697096,0.017005,0.007605,8
4260.7308,0,0.357207,0.618132,0.017004,0.007657,8
4260.8832,0.000014,0.420424,0.555626,0.013342,0.010594,8
4261.0356,0.000001,0.673291,0.28723,0.025815,0.013664,10
4261.188,0.000001,0.798506,0.162225,0.014558,0.02471,10
4261.3404,0.001793,0.796578,0.161514,0.015556,0.02456,10
4261.4928,0.003148,0.891632,0.062927,0.020111,0.022181,10
4261.6452,0.015396,0.885148,0.06044,0.024214,0.014802,10
4261.7976,0.031903,0.84754,0.08368,0.021894,0.014984,10
4261.95,0.036307,0.864952,0.05785,0.030656,0.010234,10
4262.1024,0.049157,0.842429,0.056336,0.033731,0.018347,10
4262.2548,0.072328,0.832749,0.016152,0.076964,0.001807,10
4262.4072,0.10211,0.799996,0.000001,0.077524,0.020369,10
4262.5596,0.135262,0.74743,0.011641,0.042503,0.063164,9
4262.712,0.158613,0.698108,0.043115,0.042765,0.057399,6
4262.8644,0.169115,0.679484,0.062257,0.026812,0.062331,6
4263.0168,0.171367,0.678239,0.070957,0.029028,0.050408,6
4263.1692,0.164007,0.688051,0.071984,0.025103,0.050855,6
4263.3216,0.146546,0.707304,0.071619,0.020034,0.054496,9
4263.474,0.116058,0.803152,0,0.026223,0.054567,9
4263.6264,0.104796,0.808738,0.006359,0.042605,0.037502,10
4263.7788,0.099814,0.793691,0.029403,0.029964,0.047128,10
4263.9312,0.093734,0.822708,0.007961,0.023819,0.051777,9
4264.0836,0.084761,0.842313,0.000015,0.019242,0.053668,9
4264.236,0.083558,0.85062,0,0.015336,0.050486,9
4264.3884,0.067068,0.879325,0.000005,0.017498,0.036103,10
4264.5408,0.049605,0.894097,0.013466,0.004561,0.038271,10
4264.6932,0.030395,0.929983,0,0.004681,0.034941,10
4264.8456,0.013163,0.943985,0,0.0156,0.027252,10
4264.998,0.002405,0.951427,0,0.021884,0.024285,10
4265.1504,0,0.954969,0.000004,0.022616,0.022412,10
4265.3028,0,0.957905,0.00019,0.01937,0.022535,10
4265.4552,0,0.957014,0.00226,0.014025,0.026702,10
4265.6076,0.000136,0.925253,0.032906,0.021376,0.020327,10
4265.76,0,0.917061,0.033044,0.026901,0.022994,10
4265.9124,0.000016,0.918917,0.017824,0.028116,0.035127,10
4266.0648,0.000016,0.917261,0.017792,0.029804,0.035127,10
4266.2172,0.000016,0.895207,0.017364,0.032455,0.054958,9
4266.3696,0.000016,0.869478,0.016865,0.031523,0.082118,9
4266.522,0.000016,0.869478,0.016865,0.031523,0.082118,9
4266.6744,0.000016,0.844624,0.046858,0.023835,0.084667,9
4266.8268,0.002171,0.766144,0.126363,0.020338,0.084984,9
4266.9792,0.002171,0.766144,0.126363,0.020338,0.084984,9
4267.1316,0.004251,0.80553,0.09382,0.021575,0.074825,9
4267.284,0,0.718761,0.200435,0.030415,0.050389,9
4267.4364,0.000001,0.718767,0.200437,0.030415,0.050379,9
4267.5888,0.000424,0.896628,0.014271,0.031447,0.05723,9
4267.7412,0.000424,0.89557,0.014254,0.032522,0.05723,9
4267.8936,0,0.889608,0.00983,0.029212,0.07135,9
4268.046,0,0.825439,0.074125,0.025717,0.074719,9
4268.1984,0,0.781328,0.118235,0.025717,0.074719,9
4268.3508,0.002044,0.768417,0.132777,0.024674,0.072087,9
4268.5032,0.002044,0.773094,0.133585,0.024825,0.066452,9
4268.6556,0.002085,0.646635,0.263418,0.021412,0.06645,9
4268.808,0.005602,0.593989,0.319447,0.02038,0.060582,9
4268.9604,0.006196,0.583379,0.337999,0.015746,0.05668,9
4269.1128,0.006456,0.593325,0.334496,0.011791,0.053931,9
4269.2652,0.006533,0.623842,0.305885,0.025531,0.03821,10
4269.4176,0.0086,0.620927,0.305926,0.02325,0.041297,10
4269.57,0.014991,0.687522,0.227521,0.027422,0.042544,10
4269.7224,0.026495,0.726835,0.174416,0.038356,0.033898,10
4269.8748,0.040834,0.773128,0.105641,0.028662,0.051735,9
4270.0272,0.053572,0.820209,0.038914,0.0209,0.066405,9
4270.1796,0.056817,0.828562,0.027953,0.013812,0.072856,9
4270.332,0.048838,0.816275,0.052371,0.008428,0.074088,9
4270.4844,0.036521,0.810206,0.071547,0.009766,0.071961,9
4270.6368,0.027129,0.796787,0.087209,0.011078,0.077797,9
4270.7892,0.020615,0.7826,0.099744,0.03269,0.064351,9
4270.9416,0.006211,0.641024,0.246257,0.015417,0.09109,9
4271.094,0.000072,0.622508,0.261601,0.01993,0.09589,9
4271.2464,0.000001,0.475865,0.40456,0.017736,0.101839,7
4271.3988,0.000001,0.457739,0.419711,0.020735,0.101814,7
4271.5512,0.000002,0.457359,0.416398,0.019674,0.106567,7
4271.7036,0.000002,0.457359,0.416398,0.019674,0.106567,7
4271.856,0.000002,0.542876,0.328003,0.020007,0.109111,9
4272.0084,0.000002,0.635787,0.231391,0.021301,0.111518,9
4272.1608,0.000002,0.663368,0.197934,0.021157,0.117539,9
4272.3132,0.000002,0.663368,0.197934,0.021157,0.117539,9
4272.4656,0.000688,0.679879,0.183717,0.017216,0.1185,9
4272.618,0.000688,0.74378,0.128324,0.018365,0.108842,9
4272.7704,0.000958,0.699178,0.186165,0.019241,0.094458,9
4272.9228,0.000958,0.708176,0.188561,0.019489,0.082816,9
4273.0752,0,0.714493,0.189552,0.015662,0.080293,9
4273.2276,0.000011,0.845638,0.05632,0.014805,0.083226,9
4273.38,0,0.828109,0.068827,0.024031,0.079033,9
4273.5324,0.000003,0.797868,0.089697,0.020823,0.091608,9
4273.6848,0.000003,0.750895,0.13583,0.022048,0.091225,9
4273.8372,0.000003,0.711559,0.179467,0.022749,0.086222,9
4273.9896,0.000003,0.684349,0.206677,0.022749,0.086222,9
4274.142,0.000003,0.653066,0.23796,0.022749,0.086222,9
4274.2944,0.000003,0.564147,0.351788,0.024723,0.059339,9
4274.4468,0.000848,0.555917,0.358885,0.027932,0.056419,9
4274.5992,0.003863,0.513988,0.420384,0.032247,0.029517,10
4274.7516,0.003318,0.572092,0.367178,0.027469,0.029942,10
4274.904,0.016733,0.708843,0.226178,0.028528,0.019718,10
4275.0564,0.034747,0.752542,0.170066,0.026265,0.016379,10
4275.2088,0.061376,0.707583,0.191998,0.019811,0.019231,10
4275.3612,0.078548,0.688816,0.186906,0.019285,0.026444,10
4275.5136,0.087226,0.709985,0.142473,0.004286,0.05603,9
4275.666,0.077857,0.7032,0.150857,0.004292,0.063795,9
4275.8184,0.056959,0.718519,0.152623,0.004378,0.067521,9
4275.9708,0.038668,0.603688,0.284347,0.004472,0.068826,9
4276.1232,0.038668,0.655029,0.237795,0.004496,0.064012,9
4276.2756,0.036031,0.428973,0.493879,0.005585,0.035532,8
4276.428,0.030965,0.48111,0.447195,0.007363,0.033367,8
4276.5804,0.034163,0.449342,0.475794,0.010078,0.030623,8
4276.7328,0.05474,0.425057,0.479422,0.009853,0.030927,8
4276.8852,0.07661,0.368573,0.514488,0.00962,0.03071,8
4277.0376,0.105097,0.252088,0.600695,0.00929,0.032831,8
4277.19,0.104398,0.221818,0.617543,0.016043,0.040197,8
4277.3424,0.062354,0.138017,0.734836,0.016684,0.04811,8
4277.4948,0.020183,0.010372,0.900943,0.004654,0.063848,7
4277.6472,0.016498,0.067715,0.846613,0.005019,0.064156,7
4277.7996,0.003279,0.043669,0.880434,0.009111,0.063506,7
4277.952,0.003279,0.244013,0.675511,0.010601,0.066595,7
4278.1044,0.001083,0.320333,0.601893,0.012634,0.064058,7
4278.2568,0.001083,0.400425,0.518969,0.015465,0.064058,7
4278.4092,0,0.468011,0.458333,0.010463,0.063192,7
4278.5616,0,0.466997,0.457339,0.010441,0.065223,7
4278.714,0,0.487027,0.43665,0.0111,0.065223,7
4278.8664,0,0.486315,0.436033,0.010555,0.067097,7
