Pozo,Profundidad,Porosidad,Permeabilidad,Saturacion_agua,Volumen_arcilla
P1,1092.8,0.0001,0.06758595586252714,1.0,1.0
P1,1092.9,0.0001,0.05347785891685375,1.0,0.9637
P1,1093.0,0.0003,0.09982766891643258,1.0,0.8665
P1,1094.3,0.0073,2.368680147056941,1.0,0.7196
P1,1094.4,0.0025,0.2999124471323279,1.0,0.7737
P1,1094.5,0.0018,0.21700106793265495,1.0,0.7883
P1,1095.2,0.0042,0.8031773325520095,1.0,0.7485
P1,1095.3,0.0003,0.10526475150378856,1.0,0.8563
P1,1095.4,0.0001,0.06067350727210519,1.0,0.9898
P1,1095.5,0.0001,0.06443908802445475,1.0,0.9958
P1,1095.6,0.0001,0.06191040722992114,1.0,0.9288
P1,1095.7,0.0001,0.07226164687192838,1.0,0.9086
P1,1095.8,0.0026,0.31501687874418566,1.0,0.7722
P1,1097.8,0.0045,0.9564819592034006,1.0,0.7446
P1,1098.1,0.0009,0.14546023836712124,1.0,0.8183
P1,1098.2,0.0001,0.06758595586252714,1.0,1.0
P1,1098.3,0.0001,0.06758595586252714,1.0,1.0
P1,1098.4,0.0001,0.06758595586252714,1.0,1.0
P1,1098.5,0.0001,0.08114795443484835,1.0,0.8932
P1,1098.6,0.0001,0.06758595586252714,1.0,1.0
P1,1098.7,0.0001,0.06758595586252714,1.0,1.0
P1,1098.8,0.0001,0.06758595586252714,1.0,1.0
P1,1098.9,0.0001,0.06758595586252714,1.0,1.0
P1,1099.0,0.0001,0.06758595586252714,1.0,1.0
P1,1099.1,0.0001,0.06758595586252714,1.0,1.0
P1,1099.2,0.0001,0.06758595586252714,1.0,1.0
P1,1099.3,0.0069,2.266802289976394,1.0,0.7224
P1,1101.0,0.0004,0.10895758887982221,1.0,0.8543
P1,1101.1,0.0001,0.05371427831535036,1.0,0.9574
P1,1101.2,0.0001,0.053469688807614046,1.0,0.9628
P1,1101.3,0.0001,0.06758595586252714,1.0,1.0
P1,1101.4,0.0001,0.06758595586252714,1.0,1.0
